Timestamp,Age,Gender,What is your highest level of education?,Current status ,"If you are a student, what is your current or most recent field of study?",What career do you aspire to pursue?,Have you ever received any form of career guidance or counselling? ,"If yes, where did you receive this guidance?",What skills do you believe are most important for your desired career?,What areas do you feel you need the most guidance in?,What are the main challenges you face in pursuing your desired career? ,How do you currently access information about careers?,How would you prefer to receive career guidance?,How comfortable are you with using online platforms for career guidance?,How satisfied are you with the current level of career guidance available to you?,How important do you believe career guidance is for your future success?,What features would you find most useful in an AI-based career guidance system?,Do you have any concerns about using AI for career guidance? ,How likely are you to use an AI-based career guidance system if it were available?,What suggestions do you have for improving career guidance services in Uganda?,Are you planning to pursue further education or training?,Are you currently looking for a job or planning to start a job search soon? ,Are you considering starting your own business as a career option?  ,Do you have access to financial resources or scholarships to support your education or career goals? ,How much influence does your family have on your career choices?,"Do you have regular access to a smartphone, computer, or the internet?",,,
2024/09/11 1:00:22 PM GMT+3,23,Male,Bachelor’s degree,Employed,Computer Science ,SWE,Yes,School,Coding ,Skill development,Limited opportunities,Internet,Online tools,Somewhat comfortable,Very satisfied,Very important,Personalized recommendations,Data privacy,Likely,,Yes,Maybe,Yes,Yes,A lot,Yes,,,
2024/09/11 1:09:23 PM GMT+3,21,Female,Bachelor’s degree,Student,oil and gas production ,oil and gas engineering ,Yes,School, oil and gas production engineering ,Skill development,Limited opportunities,Career counselors,Online tools,Very comfortable,Dissatisfied,Very important,Skill assessment,Accuracy,Neutral,online career guidance ,Yes,Yes,Yes,No,A lot,Yes,,,
2024/09/11 1:16:42 PM GMT+3,21,Female,Bachelor’s degree,Student,oil and gas production ,oil and gas engineering ,Yes,School,oil and gas production skills ,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Dissatisfied,Very important,Skill assessment,Accuracy,Neutral,online sessions  and work shop trainings ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/09/11 2:14:59 PM GMT+3,22,Male,UACE certificate,Student,Dental surgery,Anything dentistry,Yes,Family,Manual Dexterity and communication skills,Further education,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Likely,Offering more career guidance in schools,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/09/11 2:23:29 PM GMT+3,23,Male,Bachelor’s degree,Employed,,,Maybe,School,Problem solving ,Further education,Lack of information,Internet,Online tools,Somewhat comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Likely,,Maybe,Maybe,Maybe,Not sure,None,Yes,,,
2024/09/13 8:12:53 AM GMT+3,23,Male,UACE certificate,Student,Bachelor of Science in Software Engineering,Software Developer,Yes,Online,Practical Skills,Skill development,Lack of information,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations,Data privacy;Accuracy,Very likely,They should have rich content concerning the practical expectations of your desired career,Yes,Yes,Yes,No,None,Yes,,,
2024/09/13 9:00:55 PM GMT+3,22,Female,UACE certificate,Student,Medicine,Health personnel,Yes,School,Hands on,Skill development,Financial constraints,Internet,Workshops,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment,Data privacy,Likely,Career guidance exposure at a young age,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/09/15 9:22:39 AM GMT+3,21,Female,UACE certificate,Student,Nursing ,Medicine and surgery ,Yes,School,"Confidence , knowledge, critical and fast thinking , leadership, communication ",Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Very important,Skill assessment,Data privacy,Very likely,High schools should emphasise more on career guidance for both arts and science students ,Yes,Yes,No,No,Some,Yes,,,
2024/09/18 5:08:52 PM GMT+3,26,Male,Bachelor’s degree,Employed,,,Yes,Career guidance counselor,Leadership ,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Satisfied,Very important,Skill assessment,Data privacy;Accuracy,Very likely,Sourcing of funding,Yes,No,No,Yes,Some,Yes,,,
2024/09/22 3:36:14 PM GMT+3,22,Female,UACE certificate,Student,Law,Legal career,No,,"Communication, working with people, writing, listening ",Choosing a career,Lack of information,Family,Online tools,Somewhat comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Likely,These services need to be offered in a very timely manner.,Yes,Maybe,Maybe,No,Some,Yes,,,
2024/09/22 3:49:39 PM GMT+3,22,Female,Bachelor’s degree,Unemployed,Economics ,Economist ,No,Online,Interpersonal and good speech skills,Job search,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Important,Job matching,Data privacy,Likely,,Yes,Yes,Maybe,No,A lot,Yes,,,
2024/09/22 4:26:16 PM GMT+3,24,Male,UCE certificate,Employed,,,Yes,Family,Phone repair ,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Very satisfied,Important,Personalized recommendations,Access,Neutral,,Maybe,Yes,Yes,No,Some,Yes,,,
2024/09/22 4:50:14 PM GMT+3,23,Female,Bachelor’s degree,Unemployed,Bachelor of Actuarial science ,Auditing ,Yes,School,"Data analysis skills, monitoring and evaluation ",Job search,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Neutral,Skill assessment,Accuracy,Neutral,Create more online platforms on career guidance ,Yes,Yes,No,No,A lot,Yes,,,
2024/09/22 5:01:01 PM GMT+3,23,Male,Bachelor’s degree,Employed,,,Yes,School,Quick thinking and decision making ,Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Very likely,,Yes,No,Yes,Yes,A lot,Yes,,,
2024/09/22 5:49:23 PM GMT+3,22,Male,UACE certificate,Student,Surveying ,Valuation Surveying ,Yes,Family,Effective communication ,Skill development,Limited opportunities,Teachers,One-on-one counseling,Somewhat comfortable,Dissatisfied,Very important,Job matching,Data privacy;Accuracy,Very likely,Employment of digital career guidance media,Yes,Yes,Maybe,Not sure,A lot,Yes,,,
2024/09/22 5:49:47 PM GMT+3,24,Male,Bachelor’s degree,Employed,IT,Money,No,,Hacking,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Unimportant,Skill assessment,Accuracy,Not likely,,No,Maybe,Yes,No,None,Yes,,,
2024/09/22 6:09:11 PM GMT+3,22,Male,Bachelor’s degree,Employed,Computer Science ,Data Scientist ,Maybe,Family,Openness to continuous learning,Further education,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment,Accuracy;Access,Very likely,There should be a centralized repository containing up to date information on trending jobs,Yes,No,No,Not sure,Some,Yes,,,
2024/09/22 6:10:45 PM GMT+3,23,Male,Bachelor’s degree,Unemployed,Commerce,Auditing ,Yes,School,Accounting ,Job search,Limited opportunities,Internet,Online tools,Very comfortable,Satisfied,Neutral,Personalized recommendations,Data privacy,Likely,,Yes,Yes,Maybe,No,Some,Yes,,,
2024/09/22 6:20:23 PM GMT+3,24,Male,Bachelor’s degree,Student,Bachelor of science in software engineering ,Data science,Yes,Career guidance counselor,Data science,Skill development,Limited opportunities,Internet,Workshops,Very comfortable,Satisfied,Important,Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Likely,Provide real time information ,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/09/22 7:49:05 PM GMT+3,22,Female,Bachelor’s degree,Student,Petroleum production,Engineering ,Yes,School,Networking and softskills,Job search,Limited opportunities,Career counselors,Workshops,Somewhat comfortable,Satisfied,Very important,Job matching,Data privacy,Neutral,They should be easily accessible and affordable to everyone by everyone despite being in rural areas,Yes,Yes,Yes,Yes,A lot,Sometimes,,,
2024/09/22 10:19:55 PM GMT+3,32,Male,Bachelor’s degree,Employed,,NGO sector,Yes,Career guidance counselor,Communication skills,Further education,Financial constraints,Internet,Workshops,Somewhat comfortable,Satisfied,Very important,Skill assessment,Accuracy,Likely,,Yes,Maybe,Yes,No,Some,Yes,,,
2024/09/23 9:19:36 AM GMT+3,22,Male,UACE certificate,Employed,,,Yes,Career guidance counselor,Programing,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Likely,,Yes,No,Yes,Yes,A lot,Yes,,,
2024/09/23 3:04:25 PM GMT+3,22,Female,Bachelor’s degree,Unemployed,Human Resource Management ,Human Resource manager ,No,,"Planning ,Organization ",Skill development,Limited opportunities,Family,Workshops,Somewhat comfortable,Dissatisfied,Important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,,Yes,Yes,Maybe,No,Some,Yes,,,
2024/09/23 3:15:29 PM GMT+3,21,Male,UACE certificate,Unemployed,,Writer,Maybe,Online,Literature ,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Important,Skill assessment,Data privacy,Neutral,,Yes,Yes,Yes,Not sure,None,Yes,,,
2024/09/23 3:23:16 PM GMT+3,24,Female,Bachelor’s degree,Employed,,,Yes,Career guidance counselor,Professionalism and Soft skills,Further education,Financial constraints,Internet,Workshops,Somewhat comfortable,Satisfied,Important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy,Likely,,Yes,Yes,Yes,Not sure,Some,Yes,,,
2024/09/23 3:43:50 PM GMT+3,24,Male,UACE certificate,Student,Bachelor's Degree,Youth related work.,Maybe,Career guidance counselor,"Efficient communicating, ",Choosing a career,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Job matching,Accuracy,Likely,"Interest identification among the youth, ",Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/09/23 3:44:17 PM GMT+3,21,Female,Bachelor’s degree,Student,Bachelor of pharmacy ,Pharmacy ,Maybe,School,"Resourcefulness, social networking, ",Job search,Lack of information,Teachers,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Job matching,Accuracy,Very likely,Increase the availability of professional career guidance counselors ,Maybe,Yes,Maybe,No,Some,Yes,,,
2024/09/23 4:42:30 PM GMT+3,23,Male,Bachelor’s degree,Unemployed,,Project management ,No,,"Communication skills, problem solving skills, leadership skills, emotional intelligence ",Job search,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment,Data privacy;Accuracy,Likely,It should be mandatory ,Yes,Yes,Yes,No,Some,Yes,,,
2024/09/23 5:08:38 PM GMT+3,22,Female,Bachelor’s degree,Unemployed,Software development,Data science,No,,"Python, sql",Further education,Financial constraints,Internet,Workshops,Very comfortable,Very dissatisfied,Very important,Personalized recommendations;Job matching;Resource library,Accuracy,Very likely,,Yes,Yes,Yes,No,A lot,Yes,,,
2024/09/23 5:27:46 PM GMT+3,30,Female,Bachelor’s degree,Employed,,,Yes,Career guidance counselor,Service delivery ,Skill development,Lack of information,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Skill assessment,Data privacy,Very likely,Awareness’,Yes,Yes,Yes,No,A lot,Yes,,,
2024/09/23 5:40:04 PM GMT+3,22,Male,Bachelor’s degree,Student,Aviation ,Aviation ,Yes,Online,Multitasking ,Choosing a career,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Important,Skill assessment;Resource library,Data privacy;Accuracy,Neutral,Capacity building of the those still building or hoping to build a career ,Yes,Maybe,Yes,Yes,Some,Yes,,,
2024/09/23 5:47:02 PM GMT+3,25,Male,Bachelor’s degree,Employed,,,Maybe,,Agility ,Skill development,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Satisfied,Important,Skill assessment,Data privacy,Likely,Should be carried out to the youths and given freedom to select their carriers,Yes,No,Yes,Yes,Some,Yes,,,
2024/09/23 5:54:29 PM GMT+3,24,Prefer not to say,Bachelor’s degree,Employed,,Lecturer,Maybe,School,Public speech and Research skills ,Further education,Financial constraints,Internet,Workshops,Very comfortable,Neutral,Very important,Job matching,Data privacy,Very likely,,Yes,Maybe,Maybe,No,A lot,Yes,,,
2024/09/23 6:12:18 PM GMT+3,25,Male,Bachelor’s degree,Employed,,Doctor,Yes,Family,Paying attention to detail and communication,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Important,Resource library,Data privacy,Likely,"Starting carrier guidance at an early stage through introducing and explaning to children what is required and done in the specific fields.
Skill building by including more practical sessions within schools.",Yes,Maybe,Yes,No,A lot,Yes,,,
2024/09/23 6:40:04 PM GMT+3,22,Female,Bachelor’s degree,Student,Architecture ,Architect urban planner ,Maybe,School,Use of software and creativity ,Further education,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Skill assessment;Job matching;Resource library,Accuracy,Likely,"Career guidance should have people from different professional have booths and inform students about the different possibilities in there career ,subjects that help ,opportunities etc",Maybe,Yes,Yes,No,Some,Yes,,,
2024/09/23 6:43:09 PM GMT+3,23,Female,Bachelor’s degree,Employed,,Accounting ,No,,Critical thinking and accuracy ,Skill development,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment,Accuracy,Likely,Provide compulsory career guidance and counseling while still in school ,Yes,Yes,Yes,No,Some,Yes,,,
2024/09/23 8:02:50 PM GMT+3,22,Male,UACE certificate,Unemployed,Software engineering ,Money maker,No,,"Interpersonal relations, communication skills ",Skill development,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Neutral,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,,Yes,Maybe,Maybe,Yes,Some,Yes,,,
2024/09/23 8:15:41 PM GMT+3,26,Male,Bachelor’s degree,Employed,,,Yes,School,Computer skills,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Very likely,,Yes,No,Yes,No,Some,Yes,,,
2024/09/23 10:10:58 PM GMT+3,22,Female,Bachelor’s degree,Unemployed,Information Systems and Technology ,Software development ,Yes,Family,Good programming knowledge and experience ,Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Likely,,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/09/23 11:31:55 PM GMT+3,23,Female,UACE certificate,Student,Agriculture ,Agriculture ,Yes,Online,Flexibility ,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Skill assessment,Data privacy,Likely,More one on one sessions ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/09/24 7:24:41 AM GMT+3,26,Male,Bachelor’s degree,Employed,Software engineering,Software project management,Yes,School,"Problem solving, research and analytical skills",Skill development,Limited opportunities,Family,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations,Accuracy,Very likely,Probably the information could be packaged in such a way that intrigues the young people across the platforms they frequently use,Yes,Maybe,Yes,No,Some,Yes,,,
2024/09/24 11:50:33 AM GMT+3,24,Male,UACE certificate,Student,Arduino,Business ,Yes,School,Communication ,Choosing a career,Financial constraints,Internet,Online tools,Very comfortable,Neutral,Very important,Job matching,Accuracy,Very likely,,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/09/24 12:04:35 PM GMT+3,23,Female,Bachelor’s degree,Unemployed,,Statistician ,No,,Data analysis ,Job search,Limited opportunities,Family,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Very likely,I think they shud provide them via internet regularly,Yes,Yes,Yes,No,Some,Yes,,,
2024/09/24 12:42:51 PM GMT+3,22,Female,UACE certificate,Student,ICT,Data Analyst ,Yes,Family,decision making,Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Important,Skill assessment;Job matching,Data privacy;Accuracy,Neutral,A chance to gain experience ,No,Yes,Maybe,No,A lot,Yes,,,
2024/09/24 2:41:42 PM GMT+3,23,Male,Bachelor’s degree,Employed,Bachelor of science in sports and leisure management,Sport administration,Yes,School,"Leadership, decision making and problem solving",Further education,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Likely,Extend accurate services close to the people,Yes,No,No,No,None,Yes,,,
2024/09/24 4:27:13 PM GMT+3,22,Female,Bachelor’s degree,Student,LLB,LAWYER ,Yes,School,communication ,Job search,Limited opportunities,Teachers,One-on-one counseling,Very comfortable,Satisfied,Important,Job matching,Accuracy,Likely,improve ,Yes,Yes,Yes,No,A lot,Yes,,,
2024/09/24 9:21:06 PM GMT+3,23,Male,Bachelor’s degree,Unemployed,,Marketing ,Yes,School,Aggressiveness,Skill development,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Satisfied,Very important,Personalized recommendations,Data privacy,Likely,Reach the grass roots,Maybe,Yes,Maybe,No,A lot,Yes,,,
2024/09/24 10:38:12 PM GMT+3,22,Female,Bachelor’s degree,Employed,Bscs,Data analyst,Yes,School,Soft skills ie the skill itself and then stuff like communicating public speaking ,Further education,Lack of information,Career counselors,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Accuracy,Not likely,More career fairs,Yes,No,No,No,A lot,Yes,,,
2024/09/24 11:00:09 PM GMT+3,21,Female,Bachelor’s degree,Employed,Information Technology ,Software development ,Yes,Online,Consistency ,Skill development,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Skill assessment,Accuracy,Very likely,Providing free internet connection ,Yes,No,Yes,No,Some,Sometimes,,,
2024/09/24 11:37:20 PM GMT+3,25,Male,Bachelor’s degree,Employed,Acca,Musician,Yes,Career guidance counselor,Guitar and saxophone skills,Skill development,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Resource library,Accuracy,Neutral,They should be part of school curriculum amd accessible in all schools ie Career guidance experts,Yes,No,Yes,No,A lot,Yes,,,
2024/09/24 11:52:43 PM GMT+3,20,Male,UACE certificate,Student,Accounting and Finance ,Bank manager ,Maybe,School,Mathematics ,Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Skill assessment;Job matching,Data privacy;Accuracy,Very likely,Create more job opportunities for the youth,Maybe,Yes,Maybe,Yes,Some,Yes,,,
2024/09/25 1:46:06 AM GMT+3,22,Female,UACE certificate,Student,Law,Law,Yes,School,Connections ,Job search,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Important,Job matching,Data privacy,Likely,Schools should teach skills ,Yes,Maybe,Maybe,Yes,Some,Yes,,,
2024/09/25 5:39:04 AM GMT+3,22,Female,Bachelor’s degree,Unemployed,,Human resource manager,Yes,School,Team work,Job search,Financial constraints,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Job matching,Accuracy,Very likely,Old people should accept and resign ,Yes,Yes,Yes,No,None,Yes,,,
2024/09/25 7:55:06 AM GMT+3,22,Female,UACE certificate,Student,Applied Psychology ,Psychology and Business ,Yes,Family,Empathy ,Skill development,None,Teachers,One-on-one counseling,Somewhat comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Resource library,Accuracy,Neutral,Raising awareness about career guidance! Most people don’t know that they have access to it,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/09/25 9:48:51 AM GMT+3,22,Female,UACE certificate,Employed,Health science,Care gover,Yes,School,Commitment and patience,Skill development,Financial constraints,Internet,Workshops,Very comfortable,Very satisfied,Very important,Job matching,Data privacy,Very likely,Commitment and mentality shift,Yes,Yes,No,No,A lot,Yes,,,
2024/09/25 1:36:08 PM GMT+3,21,Female,Bachelor’s degree,Student,Engineering ,Engineering ,Maybe,School,Fast thinking and coming up with technical solutions to technical problems ,Skill development,Lack of information,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment,Accuracy;Access,Not likely,,Maybe,Maybe,Maybe,Not sure,Some,Yes,,,
2024/09/25 4:57:30 PM GMT+3,21,Male,UACE certificate,Student,University ,IT personnel ,Yes,School,Information technology ,Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Resource library,Accuracy,Not likely,Provision of more physical career training classes ,No,No,Yes,No,Some,Yes,,,
2024/09/25 5:15:22 PM GMT+3,21,Female,Bachelor’s degree,Employed,,,Yes,Career guidance counselor,Hands on skills because my course of study and line of work is based on hands on skills.,Further education,Financial constraints,Career counselors,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations,Data privacy;Accuracy,Very likely,"Experienced career guidance counselors.
",Yes,No,No,No,None,Yes,,,
2024/09/25 8:45:50 PM GMT+3,30,Male,Bachelor’s degree,Unemployed,,Business enterprise ,No,,Communication skills ,Skill development,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Neutral,Skill assessment,Accuracy,Very likely,,Yes,Maybe,Yes,No,Some,Yes,,,
2024/09/25 8:50:36 PM GMT+3,22,Male,Bachelor’s degree,Student,Engineering ,Engineer ,Maybe,Family,Interpersonal ,Job search,Limited opportunities,Internet,Online tools,Somewhat comfortable,Satisfied,Important,Personalized recommendations;Skill assessment,Data privacy;Access,Likely,,Yes,Yes,Yes,No,Some,Yes,,,
2024/09/25 9:16:10 PM GMT+3,22,Female,UACE certificate,Student,Oil and gas production ,Health and safety officer ,Yes,School,"Knowledge about risks and Hazards 
Quick decision making 
Quick thinking ",Skill development,Financial constraints,Teachers,Workshops,Somewhat comfortable,Neutral,Very important,Personalized recommendations,Accuracy,Likely,Sensitisation with in schools starting from primary levels,Yes,Maybe,Yes,No,Some,Sometimes,,,
2024/10/01 11:14:34 AM GMT+3,22,Male,Bachelor’s degree,Student,Language,Bioinformatics ,No,,Novelity ,Skill development,Lack of information,Family,Workshops,Very comfortable,Very dissatisfied,Very important,Personalized recommendations,Data privacy,Very likely,Workshops are important. ,Yes,No,No,Yes,A lot,Yes,,,
2024/10/02 8:09:22 AM GMT+3,22,Female,Bachelor’s degree,Unemployed,Bachelor of Science in Industrial Chemistry ,Psychology or Accounting ,Yes,School,"Communication skills 
Analytical skills ",Job search,Lack of information,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Skill assessment,Data privacy,Very likely,"Getting to tell children while they are still young 
And continuing to create a way for them since just talk doesn't help totally ",Yes,Yes,Maybe,No,A lot,Yes,,,
2024/10/02 8:10:57 AM GMT+3,21,Female,UACE certificate,Student,,Forensic Sciences,Yes,School,Great attention to detail ,Skill development,Lack of information,Internet,Online tools,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment,Data privacy;Accuracy,Neutral,For them to be diversified ,Yes,No,Maybe,Yes,A lot,Yes,,,
2024/10/02 8:14:51 AM GMT+3,21,Female,UACE certificate,Student,Engineering ,,Yes,School,Self awareness ,Skill development,Lack of information,Internet,Workshops,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy,Likely,,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 8:14:53 AM GMT+3,22,Male,UACE certificate,Student,Biomedical engineering ,Biomedical engineering ,Yes,Family,"Technical prowess in electrical components, research, writing, communication ",Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Dissatisfied,Very important,Skill assessment;Job matching;Resource library,Accuracy,Very likely,There should be an improvement in online resources that shows the different careers being pursued by different people and break them down or the paths to those achievements ,Yes,Yes,Yes,Not sure,A lot,Yes,,,
2024/10/02 8:15:56 AM GMT+3,23,Male,Bachelor’s degree,Employed,,DevOps systems administration ,Yes,School,"Linux sys administration, cyber knowledge, scripting, DNS.",Skill development,Lack of information,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy;Access,Neutral,Encourage doing seminars. ,Yes,Yes,Yes,Yes,A lot,Yes,,,
